"survey";"year";"country";"quarter";"area";"aphia_id";"species";"length";"plusgr";"age";"sex";"maturity";"weight";"canoatlngt";"dateofcalc";"spawning_scale"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"M";"5";117;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"M";"5";125;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";240;-9;1;"M";"1";140;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";240;-9;1;"M";"5";120;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";240;-9;1;"M";"5";140;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";240;-9;2;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";250;-9;1;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";260;-9;1;"M";"5";165;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";260;-9;1;"M";"5";190;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";270;-9;2;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";280;-9;1;"M";"5";195;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";300;-9;2;"M";"2";265;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";320;-9;2;"M";"5";345;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"M";"2";320;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"M";"2";375;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"M";"5";NA;3;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";340;-9;2;"M";"2";415;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";340;-9;2;"M";"3";NA;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";350;-9;2;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";360;-9;2;"M";"2";NA;2;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";360;-9;2;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";360;-9;3;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";360;-9;3;"M";"3";480;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";370;-9;2;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";370;-9;2;"M";"2";495;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";370;-9;2;"M";"3";505;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";380;-9;2;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";380;-9;2;"M";"2";650;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";380;-9;2;"M";"3";510;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";390;-9;2;"M";"2";665;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";390;-9;2;"M";"3";NA;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";390;-9;2;"M";"3";545;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";390;-9;2;"M";"5";610;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";390;-9;2;"M";"5";645;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";390;-9;3;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";390;-9;3;"M";"5";550;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";400;-9;2;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";400;-9;2;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"M";"2";NA;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"M";"3";NA;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";410;-9;2;"M";"5";590;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";410;-9;3;"M";"2";NA;3;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";410;-9;3;"M";"2";725;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";410;-9;3;"M";"3";NA;2;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";420;-9;2;"M";"2";NA;2;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";420;-9;2;"M";"2";730;1;20161213;"maturing"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";420;-9;2;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";420;-9;3;"M";"3";NA;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";420;-9;3;"M";"3";770;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";420;-9;3;"M";"3";810;1;20161213;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";420;-9;3;"M";"3";830;1;20161213;"spawning"
